Date      = Sat Apr 23 23:40:39 EDT 2022
host      = c0909a-s35
Directory = /blue/ctolerfranklin/michaelperez012/videogan-pytorch
Model restored
Epoch 9/10 | Iter 0/30188 | D 1.4434e-02 | G 7.0378e+00 | Real 0.97 | Fake 0.00
Epoch 9/10 | Iter 1/30188 | D 9.7472e-04 | G 5.4719e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 2/30188 | D 4.4930e-02 | G 9.7071e+00 | Real 1.00 | Fake 0.05
Epoch 9/10 | Iter 3/30188 | D 9.5612e-02 | G 1.8883e+00 | Real 0.90 | Fake 0.01
Epoch 9/10 | Iter 4/30188 | D 1.5222e-01 | G 1.1718e+01 | Real 1.00 | Fake 0.19
Epoch 9/10 | Iter 5/30188 | D 7.9201e-04 | G 1.1278e+01 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 6/30188 | D 9.8268e-02 | G 6.5033e+00 | Real 0.85 | Fake 0.00
Epoch 9/10 | Iter 7/30188 | D 4.7941e-04 | G 5.1150e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 8/30188 | D 8.8064e-02 | G 9.8135e+00 | Real 1.00 | Fake 0.10
Epoch 9/10 | Iter 9/30188 | D 3.2885e-02 | G 4.0533e+00 | Real 0.97 | Fake 0.02
Epoch 9/10 | Iter 10/30188 | D 1.2545e-03 | G 1.0962e+01 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 11/30188 | D 3.9938e-03 | G 1.0321e+01 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 12/30188 | D 5.0815e-04 | G 7.2077e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 13/30188 | D 7.3479e-03 | G 7.0981e+00 | Real 0.99 | Fake 0.01
Epoch 9/10 | Iter 14/30188 | D 5.4322e-03 | G 7.6688e+00 | Real 0.99 | Fake 0.01
Epoch 9/10 | Iter 15/30188 | D 1.0894e-03 | G 8.7604e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 16/30188 | D 2.4276e-03 | G 8.0284e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 17/30188 | D 5.2657e-03 | G 9.7303e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 18/30188 | D 9.7810e-02 | G 6.7827e+00 | Real 0.90 | Fake 0.04
Epoch 9/10 | Iter 19/30188 | D 1.7911e-03 | G 5.1991e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 20/30188 | D 1.6306e-02 | G 5.5259e+00 | Real 1.00 | Fake 0.03
Epoch 9/10 | Iter 21/30188 | D 1.3402e-02 | G 6.7100e+00 | Real 1.00 | Fake 0.03
Epoch 9/10 | Iter 22/30188 | D 1.9540e-03 | G 1.0313e+01 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 23/30188 | D 9.5608e-04 | G 9.2285e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 24/30188 | D 3.1631e-02 | G 9.2369e+00 | Real 0.97 | Fake 0.03
Epoch 9/10 | Iter 25/30188 | D 7.8110e-03 | G 9.5715e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 26/30188 | D 6.6948e-04 | G 8.5080e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 27/30188 | D 1.1151e-04 | G 8.5916e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 28/30188 | D 2.7167e-02 | G 5.6718e+00 | Real 0.96 | Fake 0.00
Epoch 9/10 | Iter 29/30188 | D 7.1428e-03 | G 7.7637e+00 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 30/30188 | D 2.7330e-02 | G 5.3007e+00 | Real 0.97 | Fake 0.02
Epoch 9/10 | Iter 31/30188 | D 4.4687e-03 | G 4.6540e+00 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 32/30188 | D 3.0010e-03 | G 2.2564e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 33/30188 | D 2.1769e-03 | G 6.4777e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 34/30188 | D 7.6349e-02 | G 1.0247e+01 | Real 1.00 | Fake 0.13
Epoch 9/10 | Iter 35/30188 | D 6.3938e-02 | G 5.4957e+00 | Real 0.91 | Fake 0.00
Epoch 9/10 | Iter 36/30188 | D 3.8484e-03 | G 6.0585e+00 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 37/30188 | D 1.5160e-02 | G 1.0910e+01 | Real 0.99 | Fake 0.02
Epoch 9/10 | Iter 38/30188 | D 6.8419e-04 | G 7.6560e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 39/30188 | D 1.1136e-01 | G 6.5394e+00 | Real 0.87 | Fake 0.01
Epoch 9/10 | Iter 40/30188 | D 1.1742e-02 | G 3.8154e+00 | Real 1.00 | Fake 0.02
Epoch 9/10 | Iter 41/30188 | D 1.4274e-01 | G 1.2595e+01 | Real 1.00 | Fake 0.19
Epoch 9/10 | Iter 42/30188 | D 7.2639e-02 | G 7.0497e+00 | Real 0.89 | Fake 0.00
Epoch 9/10 | Iter 43/30188 | D 5.5793e-02 | G 6.3600e+00 | Real 0.98 | Fake 0.07
Epoch 9/10 | Iter 44/30188 | D 1.4699e-04 | G 7.1265e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 45/30188 | D 3.7140e-03 | G 6.8299e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 46/30188 | D 9.0074e-03 | G 1.1038e+01 | Real 0.98 | Fake 0.00
Epoch 9/10 | Iter 47/30188 | D 1.3466e-01 | G 4.4435e+00 | Real 0.82 | Fake 0.01
Epoch 9/10 | Iter 48/30188 | D 2.4003e-01 | G 1.1085e+01 | Real 1.00 | Fake 0.23
Epoch 9/10 | Iter 49/30188 | D 3.2110e-03 | G 1.1801e+01 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 50/30188 | D 1.2244e+00 | G 1.2214e+00 | Real 0.25 | Fake 0.00
Epoch 9/10 | Iter 51/30188 | D 9.8463e-01 | G 5.6904e+00 | Real 1.00 | Fake 0.69
